experiment,base_name,ROI,channel,spot_count,plasmid
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,11,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,12,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,13,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,14,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,15,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,16,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,17,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,18,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,19,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,20,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,21,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,22,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,23,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,24,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,25,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,26,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,27,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,28,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,29,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,30,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,31,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,32,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,33,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,34,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,35,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,36,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,37,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,38,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,39,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,40,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,41,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,42,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,43,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,44,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,45,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,46,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,47,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,48,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,49,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,50,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,51,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,52,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,53,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,54,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,55,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,56,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,57,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,58,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,59,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,60,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,61,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,62,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,63,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,64,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,65,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,66,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,67,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,68,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,69,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,70,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,71,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,72,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,73,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,74,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,75,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,76,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,77,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,78,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,79,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,80,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,81,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,82,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,83,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,84,2,0,NT-GFP_Cen6-ZF1c
03182025_Cen-ZF_IF-FISH,03182025_Cen-ZF_IF-FISH_NT-GFP_Cen6-ZF1c_2_MMStack_Pos-7-001_001_MIP,85,2,0,NT-GFP_Cen6-ZF1c
