experiment,image_index,channel,avg_intensity,median_intensity,min_intensity,area,base_name
02132025_Cen-ZF_select_HCT116_session2,34,0,3571.233381358539,3295.0,754,2838103,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF2c_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,34,1,1030.2705284851484,684.0,304,2838103,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF2c_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,35,0,4161.836783875308,3846.0,1102,2596086,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,35,1,1863.930605873953,987.0,286,2596086,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4b_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,36,0,4880.165769340122,4595.0,1316,2321340,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,36,1,1213.1140220734576,752.0,356,2321340,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos5_MIP
02132025_Cen-ZF_select_HCT116_session2,37,0,5439.5671495578035,5123.0,1211,2639880,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,37,1,843.3546413295038,663.0,306,2639880,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,38,0,5108.425336386518,4737.0,1699,2397520,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1a_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,38,1,879.4920076792222,706.0,354,2397520,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1a_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,39,0,6520.864454481745,6208.0,1886,2407250,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,39,1,927.8679900616597,702.0,335,2407250,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,40,0,4444.487746029683,4208.0,1461,2340744,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3a_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,40,1,2815.9294118804014,1533.0,408,2340744,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3a_1_MMStack_Pos3_MIP
02132025_Cen-ZF_select_HCT116_session2,41,0,4817.981327510811,4471.0,1418,2080770,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1a_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,41,1,616.5472776060802,522.0,270,2080770,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1a_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,42,0,3523.7691426908004,3412.0,1154,2343110,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,42,1,428.22789584963067,439.0,213,2343110,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos7_MIP
02132025_Cen-ZF_select_HCT116_session2,43,0,4964.444650884826,4767.0,1098,2628034,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,43,1,780.8055521931277,625.0,320,2628034,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos9_MIP
02132025_Cen-ZF_select_HCT116_session2,44,0,4015.728691823306,3875.0,1138,2692088,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF1b_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,44,1,1599.9535140282726,969.0,311,2692088,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF1b_1_MMStack_Pos2_MIP
02132025_Cen-ZF_select_HCT116_session2,45,0,3984.777086861343,3814.0,1436,2304312,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,45,1,2802.736156738937,1300.0,494,2304312,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos0_MIP
02132025_Cen-ZF_select_HCT116_session2,46,0,4249.467920059374,3909.0,1489,2462681,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,46,1,459.48249184042004,461.0,254,2462681,02132025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos11_MIP
