experiment,base_name,ROI,channel,x,y,intensity,probability,plasmid,median,maxima,sbr,rel_intensity,rel_sbr,real_spot
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,112,2,1215,1688,1286.0,0.389,NT-GFP_CenY-ZF3c,755.5,2003,1.7021839841164792,0.6813172840552683,0.6813172840552684,No
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,98,2,1861,1510,1518.0,0.37,NT-GFP_CenY-ZF3c,913.5,1518,1.6617405582922824,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,98,2,1792,1426,1158.92,0.466,NT-GFP_CenY-ZF3c,913.5,1518,1.2686590038314176,0.7634519104084322,0.7634519104084322,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,98,2,1800,1421,1230.0,0.44,NT-GFP_CenY-ZF3c,913.5,1518,1.3464696223316912,0.8102766798418972,0.8102766798418972,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,99,2,1983,1495,2215.0,0.336,NT-GFP_CenY-ZF3c,1242.0,2299,1.7834138486312399,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,97,2,1585,1484,904.4100000000001,0.494,NT-GFP_CenY-ZF3c,569.0,1088,1.5894727592267137,0.860204110748628,0.860204110748628,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,97,2,1621,1444,1051.39,0.532,NT-GFP_CenY-ZF3c,569.0,1088,1.847785588752197,1.0,1.0,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,95,2,1080,1452,1599.81,0.479,NT-GFP_CenY-ZF3c,1012.0,2237,1.5808399209486166,0.7240728503797308,0.7240728503797308,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,95,2,1060,1443,2095.0,0.443,NT-GFP_CenY-ZF3c,1012.0,2237,2.0701581027667983,0.9481954866800032,0.9481954866800032,Yes
02132025_Cen-ZF_select_HCT116_session2,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos3_MIP,95,2,1056,1441,2209.46,0.497,NT-GFP_CenY-ZF3c,1012.0,2237,2.1832608695652174,1.0,1.0,Yes
