experiment,base_name,ROI,channel,x,y,intensity,probability
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,118,2,106,1748,417.0,0.458
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,116,2,891,1744,524.0,0.388
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,114,2,1013,1741,578.92,0.5
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,117,2,1076,1722,497.94,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,119,2,1336,1718,383.0,0.464
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,115,2,655,1714,377.0,0.487
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,116,2,933,1701,519.0,0.448
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,115,2,642,1690,558.01,0.506
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,109,2,1570,1684,1030.82,0.6
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,113,2,1171,1682,519.45,0.47
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,114,2,1030,1680,807.11,0.518
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,115,2,636,1676,392.35,0.472
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,112,2,1795,1671,749.73,0.514
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,112,2,1756,1672,749.35,0.51
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,113,2,1168,1672,457.0,0.454
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,110,2,490,1660,528.2,0.499
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,112,2,1822,1656,1677.73,0.633
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,107,2,891,1647,579.95,0.506
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,112,2,1854,1643,1092.93,0.574
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,109,2,1563,1637,807.37,0.622
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,111,2,1929,1634,1097.82,0.565
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,111,2,1904,1632,1488.16,0.673
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,104,2,1685,1624,1074.5,0.556
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,103,2,388,1620,651.74,0.496
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,112,2,1856,1608,756.0,0.445
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,108,2,1143,1602,529.89,0.484
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,107,2,880,1601,439.0,0.437
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,106,2,2031,1588,854.1,0.513
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,103,2,285,1585,602.06,0.501
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,105,2,1860,1581,1009.7,0.534
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,102,2,499,1581,454.0,0.413
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,107,2,942,1565,510.16,0.488
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,107,2,871,1563,606.11,0.487
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,102,2,477,1549,499.97,0.487
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,104,2,1698,1539,1063.92,0.532
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,103,2,340,1541,622.13,0.482
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,101,2,1027,1528,574.24,0.49
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,98,2,169,1525,515.62,0.489
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,103,2,334,1507,554.99,0.5
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,100,2,737,1500,474.37,0.497
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,97,2,1925,1500,1480.63,0.636
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,99,2,89,1501,512.91,0.472
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,98,2,226,1489,494.76,0.495
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,100,2,729,1486,589.84,0.522
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,97,2,1864,1485,1291.21,0.635
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,94,2,386,1480,597.0,0.46
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,98,2,202,1476,405.0,0.415
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,99,2,63,1467,544.89,0.504
02062025_AK_FISH_fibroblasts,02062025_AK_FISH_fibroblasts_control_glass_1_MMStack_Pos-5-000_001_MIP,98,2,127,1451,615.71,0.499
